,tic,date,close,open,high,low,prev_close,adjfactor,turnover,volume,adjcp,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,prev_adjfactor,open_r,high_r,low_r,close_r,turnover_r,volume_r
3248,601088.SH,2021-05-17,20.2,20.02,20.35,19.81,19.96,1.81771731,640690777.0,31807778.0,36.71788966,0.4291096275472217,0.0380132292289739,0.0771001299869626,0.5525496786,0.5350675581549694,0.0984321128839078,0.0425025192578888,0.0424118708193735,1.81771731,0.5305175645953956,0.5580810409278589,0.4889272138419373,0.5279004740567181,0.4731944460981332,0.5518739464793074
3248,601166.SH,2021-05-17,22.81,22.87,23.39,22.54,22.97,4.31399217,2581340397.0,112430637.0,98.4021614,0.4148326417942083,0.0424292821571756,0.0813457344724546,0.5071365828,0.5241172604699701,0.2316812827291805,0.0483058206418969,0.0526455594493744,4.31399217,0.4946344450416308,0.5525921690104452,0.4328414251249789,0.4434973569301774,0.6298016633745793,0.5799904000401199
3248,601318.SH,2021-05-17,70.37,70.4,70.82,70.0,71.18,2.52001277,4455919019.0,63300366.0,177.3332986,0.3140443862138464,0.1469685603610634,0.1941809425934935,0.3709485611,0.4510072153999742,0.3827901104798363,0.1668161410352447,0.1831337365674975,2.52001277,0.4622054181756775,0.4491974133518819,0.4436142627399644,0.4236473841214698,0.6914859496092035,0.5465810545149365
3248,601398.SH,2021-05-17,5.27,5.26,5.29,5.24,5.28,1.87592883,899549356.0,170881970.0,9.886144934,0.4140624722454111,0.0083786073112999,0.044159342244091,0.4840987614,0.4767071963799728,0.1203624244516642,0.0096598011415693,0.0100772510644238,1.87592883,0.4974016866334269,0.4802407266287556,0.4886249553525137,0.4661962835362505,0.5111495914682643,0.5757098124280216
3248,601601.SH,2021-05-17,33.81,33.81,34.1,33.5,33.92,1.33239433,1019847458.0,30196232.0,45.0482523,0.3703812751062563,0.0651188481086239,0.1079286725880429,0.4404815045,0.4856101161999722,0.1170149364538007,0.0756231355416738,0.0869100997497706,1.33239433,0.5000663078305562,0.4954018412858519,0.4646438607978455,0.4601699957848371,0.5252267957922919,0.515718483411087
3248,601628.SH,2021-05-17,34.57,35.0,35.2,34.4,35.45,1.22617355,943583494.0,27174411.0,42.38881962,0.4411300683634706,0.0652349276951345,0.1023965498127308,0.5381418467,0.6078977322499652,0.4105648598372254,0.070313538787117,0.0740590300981916,1.22617355,0.4536466186975341,0.4402501887936759,0.3776690755857119,0.3626379130653693,0.5165074702662055,0.519755788059474
3248,601857.SH,2021-05-17,4.66,4.68,4.73,4.64,4.65,1.39221501,735955103.0,157231873.0,6.487721947,0.4205550779386618,0.007020959218769,0.0414666207254279,0.6401795376,0.5933527384999661,0.5156964321225044,0.0073669518943316,0.0076611163312863,1.39221501,0.547227038143901,0.5478590120268948,0.5155549211016539,0.4842153675969164,0.4886785206767904,0.5466450908104017
3248,601919.SH,2021-05-17,20.99,19.62,20.99,19.62,19.08,1.04288,6626954533.0,324602680.0,21.8900512,0.4871124014238942,0.0396863587373958,0.0634567771871669,0.6639749371000001,0.5708658102499673,0.5461787383649772,0.0352900393744171,0.0308598617485111,1.04288,0.6518767379206953,0.8971785573589117,0.6640502798394761,0.8997507596409616,0.7363839463676143,0.6222962523017559
3249,600010.SH,2021-05-18,1.68,1.69,1.72,1.67,1.68,8.39390276,1053030075.0,621629386.0,14.10175664,0.4174741374110152,0.0014236220004559,0.0353215354677201,0.5368293728,0.5385185970099692,0.2568211282164691,0.0011873142729733,0.0012719394820942,8.39390276,0.5448095549559406,0.5767173207581857,0.4966985556359186,0.4746432941774795,0.5288207261414327,0.5447626024216449
3249,600028.SH,2021-05-18,4.53,4.45,4.54,4.43,4.42,3.3048626,870217047.0,193491054.0,14.97102758,0.4175275594864241,0.0066516239811976,0.0419132050596141,0.5669199087,0.5716140198999673,0.2592695707914687,0.007421471427309,0.0077696006628864,3.3048626,0.5488520413570849,0.5912381470259704,0.5373525193487281,0.5841767987109566,0.5074346223696834,0.6061166954016671
3249,600030.SH,2021-05-18,24.77,24.72,25.2,24.61,24.89,5.56775365,2301327778.0,92557501.0,137.9132579,0.4233193192310491,0.0461104316104537,0.0857350104277551,0.5023295949,0.5965227817499659,0.3180409091052543,0.0515686632625929,0.0549473139633248,5.56775365,0.4824997656603529,0.5269923296679976,0.4703053418014669,0.4531089918073297,0.616842277907151,0.4993765857505569
3249,600031.SH,2021-05-18,29.62,29.85,29.85,29.21,29.87,48.25649106,2785123523.0,94679426.0,1429.357265,0.3515937705591465,0.0626790688016464,0.0983529425970445,0.4164318898999999,0.453973667984974,0.2505873647506748,0.0693480887239751,0.0808271159809919,48.25649106,0.5126294106131701,0.4688180789077909,0.415819199067822,0.4371930996340559,0.6383806933713233,0.5038970188178229
3249,600036.SH,2021-05-18,55.95,55.98,56.39,55.7,55.65,5.06077065,1642178930.0,29335118.0,283.1501179,0.459686580580802,0.1056553897875295,0.1519976287311312,0.5955380225,0.5865684727499664,0.5192270963102695,0.1162053556708635,0.1207800086252904,5.06077065,0.544700756667799,0.5307013513727569,0.5306255534871013,0.4985992553930162,0.5787950599941843,0.5196781095690475
3249,600048.SH,2021-05-18,13.73,13.65,13.84,13.56,13.67,21.65785459,558572352.0,40769856.0,297.3623435,0.4061820902643975,0.0258905965798816,0.0639161273399365,0.4241781161,0.4476070880499744,0.2024322622385532,0.0294564493458327,0.0316565926832349,21.65785459,0.5087590535325023,0.526909494451594,0.4862797432065683,0.4941577662273966,0.4579058513518183,0.5675091422493761
3249,600104.SH,2021-05-18,20.4,20.53,20.72,20.27,20.58,9.73485481,559358438.0,27407346.0,198.5910381,0.4176432237534366,0.0383296165586046,0.0781754988572269,0.4861622524,0.5489749430499686,0.3001853705463906,0.0432392901612476,0.0455182174672194,9.73485481,0.5040407328274609,0.5020322741968097,0.4512158013667646,0.4354998693757503,0.4580624265235268,0.5342744970542594
3249,600111.SH,2021-05-18,20.61,20.63,21.04,20.44,20.58,19.63886581,1823675601.0,87982947.0,404.7570243,0.4260131206845902,0.0402257129795807,0.0781109103815519,0.5279413535999999,0.5241917687299701,0.0896565841554177,0.0435285465647502,0.0455995807159195,19.63886581,0.5277163687834063,0.5703645391835268,0.4924711743457203,0.4811338967334441,0.5906069315596522,0.5697190418007598
3249,600196.SH,2021-05-18,63.9,68.88,68.98,62.88,69.71,14.20375723,7750130079.0,119061151.0,907.620087,0.706681133573035,0.1380265824374767,0.1219864209168798,0.6382492704,0.5591513003499681,0.5021924756506223,0.1122034705223178,0.1064435683688303,14.20375723,0.4575312743860581,0.4248680361956797,0.0168295381997365,0.0868800896861925,0.754102280549831,0.5746047396786457
3249,600276.SH,2021-05-18,85.73,85.4,86.34,84.54,85.38,53.37844336,1634106462.0,19155165.0,4576.133949,0.364558508531928,0.1626955804669923,0.2215632207982647,0.4657100486,0.5055377758399711,0.0281416044494395,0.1905571259997054,0.2091731206406298,53.37844336,0.5170341511048204,0.5216564227856333,0.4773501658113592,0.4928717027128216,0.5782399885224768,0.5163330113689778
3249,600309.SH,2021-05-18,108.44,109.62,110.44,106.99,108.97,38.42928445,1441767048.0,13278900.0,4167.271606,0.371215126608716,0.215763325514367,0.2710588849045832,0.5016985026999999,0.5299419526049697,0.0085636262245765,0.2397102709742382,0.2619660773425677,38.42928445,0.5448704047956263,0.5315485377223431,0.4356089644486914,0.4529186496651727,0.564140245967562,0.4877983907242706
